phase,model,start,step,loss,train_acc,cv_acc,l2,theta_std,theta_absmax,elapsed,is_best
candidate,lightweight,6,0,0.51769259,0.76273148,0.73828125,0.01,0.48227272,0.95267416,152.254,1
spsa,lightweight,6,1,0.50654568,0.75347222,0.73828125,0.005,0.49146502,0.99420284,159.986,1
spsa,lightweight,6,2,0.50606575,0.75347222,0.73828125,0.005,0.48867611,0.98925413,168.383,1
spsa,lightweight,6,3,0.53388067,0.75231481,0.73828125,0.02,0.48759799,1.00941987,175.985,1
candidate,lightweight,7,0,0.53803108,0.73726852,0.74218750,0.005,0.57792723,1.40431051,182.136,1
spsa,lightweight,7,1,0.53806506,0.74074074,0.74218750,0.005,0.57686855,1.39052671,190.988,1
spsa,lightweight,7,2,0.55169991,0.73611111,0.73828125,0.01,0.58051731,1.41719089,199.808,0
spsa,lightweight,7,3,0.53610550,0.73958333,0.73828125,0.005,0.58623727,1.44314234,209.058,0
candidate,lightweight,8,0,0.54994070,0.73611111,0.73046875,0.005,0.43541680,1.04567251,214.115,0
spsa,lightweight,8,1,0.54910130,0.73958333,0.73828125,0.005,0.43536636,1.03169360,220.830,0
spsa,lightweight,8,2,0.56047920,0.73726852,0.73437500,0.01,0.43768147,1.04137082,227.333,0
spsa,lightweight,8,3,0.54485719,0.74189815,0.73437500,0.005,0.44470842,1.04857132,234.019,0
candidate,lightweight,9,0,0.53292965,0.76620370,0.73437500,0.005,0.58101290,1.27191987,238.433,0
spsa,lightweight,9,1,0.53499415,0.76157407,0.73828125,0.005,0.57960154,1.24579591,244.645,0
spsa,lightweight,9,2,0.53538687,0.75578704,0.72656250,0.005,0.57847707,1.21273860,251.108,0
spsa,lightweight,9,3,0.53336894,0.75925926,0.73828125,0.005,0.58191092,1.18109090,257.598,0
candidate,lightweight,10,0,0.54163016,0.71412037,0.71093750,0.005,0.63743350,1.38728008,262.053,0
spsa,lightweight,10,1,0.54121105,0.71875000,0.70703125,0.005,0.63305946,1.38311665,268.456,0
spsa,lightweight,10,2,0.54104111,0.71875000,0.70703125,0.005,0.63492254,1.39389038,275.680,0
spsa,lightweight,10,3,0.54044799,0.71990741,0.70703125,0.005,0.63502934,1.39651711,283.651,0
candidate,lightweight,11,0,0.57724118,0.71296296,0.71093750,0.005,0.38931395,1.01842677,289.288,0
spsa,lightweight,11,1,0.57342311,0.71643519,0.71484375,0.005,0.38111147,1.02195448,299.874,0
